spell_name,ritual,school,tags,level,casting_time,range,components,duration,description,classes,source_book
Speak with Plants,FALSE,transmutation,"communication, utility",3,Action,Self,"V, S",10 minutes,"You imbue plants in an immobile 30-foot Emanation with limited sentience and animation, giving them the ability to communicate with you and follow your simple commands. You can question plants about events in the spell's area within the past day, gaining information about creatures that have passed, weather, and other circumstances.\nYou can also turn Difficult Terrain caused by plant growth (such as thickets and undergrowth) into ordinary terrain that lasts for the duration. Or you can turn ordinary terrain where plants are present into Difficult Terrain that lasts for the duration.\nThe spell doesn't enable plants to uproot themselves and move about, but they can move their branches, tendrils, and stalks for you.\nIf a Plant creature is in the area, you can communicate with it as if you shared a common language.","Bard, Druid, Ranger",Player's Handbook 2024
Spider Climb,FALSE,transmutation,buff,2,Action,Touch,"V, S, M (a drop of bitumen and a spider)","Concentration, up to 1 hour","Until the spell ends, one willing creature you touch gains the ability to move up, down, and across vertical surfaces and along ceilings, while leaving its hands free. The target also gains a Climb Speed equal to its Speed.\nUsing a Higher-Level Spell Slot. You can target one additional creature for each spell slot level about 2.","Sorcerer, Warlock, Wizard",Player's Handbook 2024
Spike Growth,FALSE,transmutation,"control, damage, piercing",2,Action,150 feet,"V, S, M (seven thorns)","Concentration, up to 10 minutes","The ground in a 20-foot-radius Sphere centered on a point within range sprouts hard spikes and thorns. The area becomes Difficult Terrain for the duration. When a creature moves into or within the area, it takes 2d4 Piercing damage for every 5 feet it travels.\nThe transformation of the ground is camouflaged to look natural. Any creature that can't see the area when the spell is cast must take a Search action and succeed on a Wisdom (Perception or Survival) check against your spell save DC to recognize the terrain as hazardous before entering it.","Druid, Ranger",Player's Handbook 2024
Spirit Guardians,FALSE,conjuration,"control, damage, radiant, necrotic",3,Action,Self,"V, S, M (a prayer scroll)","Concentration, up to 10 minutes","Protective spirits flit around you in a 15-foot Emanation for the duration. If you are good or neutral, their spectral form appears angelic or fey (your choice). If you are evil, they appear fiendish.\nWhen you cast this spell, you can designate creatures to be unaffected by it. Any other creature's Speed is halved in the Emanation, and whenever the Emanation enters a creature's space and whenever a creature enters the Emanation or ends its turn there, the creature must make a Wisdom saving throw. On a failed save, the creature takes 3d8 Radiant damage (if you are good or neutral) or 3d8 Necrotic damage (if you are evil). On a successful save, the creature takes half as much damage. A creature makes this save only once per turn.\nUsing a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 3.",Cleric,Player's Handbook 2024
Spiritual Weapon,FALSE,evocation,"damage, radiant",2,Bonus Action,60 feet,"V, S","Concentration, up to 1 minute","You create a floating, spectral force that resembles a weapon of your choice and lasts for the duration.\nThe force appears within range in a space of your choice, and you can immediately make one melee spell attack against one creature within 5 feet of the force. On a hit, the target takes Force damage equal to 1d8 plus your spellcasting ability modifier.\nAs a Bonus Action on your later turns, you can move the force up to 20 feet and repeat the attack against a creature within 5 feet of it.\nUsing a Higher-Level Spell Slot. The damage increases by 1d8 for every slot level above 2.",Cleric,Player's Handbook 2024
Staggering Smite,FALSE,enchantment,"damage, psychic, debuff",4,"Bonus Action, which you take immediately after hitting a creature with a Melee weapon or an Unarmed Strike",Self,V,Instantaneous,"The target takes an extra 4d6 Psychic damage from the attack, and the target must succeed on a Wisdom saving throw or have the Stunned condition until the end of your next turn.\nUsing a Higher-Level Spell Slot. The extra damage increases by 1d6 for each spell slot level above 4.",Paladin,Player's Handbook 2024
Starry Wisp,FALSE,evocation,"damage, radiant, detection",0,Action,60 feet,"V, S",Instantaneous,"You launch a mote of light at one creature or object within range. Make a ranged spell attack against the target. On a hit, the target takes 1d8 Radiant damage, and until the end of your next turn, it emits Dim Light in a 10-foot radius and can't benefit from the Invisible condition.\nCantrip Upgrade. The damage increases by 1d8 when you reach levels 5 (2d8), 11 (3d8), and 17 (4d8).","Bard, Druid",Player's Handbook 2024
Steel Wind Strike,FALSE,conjuration,"damage, force, movement",5,Action,30 feet,"S, M (a Melee weapon worth 1+ SP)",Instantaneous,Unknown,"Ranger, Wizard",Player's Handbook 2024
Stinking Cloud,FALSE,conjuration,"control, debuff",3,Action,90 feet,"V, S, M (a rotten egg)","Concentration, up to 1 minute","You create a 20-foot-radius Sphere of yellow, nauseating gas centered on a point within range. The cloud is Heavily Obscured. The cloud lingers in the air for the duration or until a strong wind (such as the one created by Gust of Wind) disperses it.\nEach creature that starts its turn in the Sphere must succeed on a Constitution saving throw or have the Poisoned condition until the end of the current turn. While Poisoned in this way, the creature can't take an action or a Bonus Action.","Bard, Sorcerer, Wizard",Player's Handbook 2024
Stone Shape,FALSE,transmutation,utility,4,Action,Touch,"V, S, M (soft clay)",Instantaneous,"You touch a stone object of Medium size or smaller or a section of stone no more than 5 feet in any dimension and form it into any shape you like. For example, you could shape a large rock into a weapon, statue, or coffer, or you could make a small passage through a wall that is 5 feet thick. You could also shape a stone door or its frame to seal the door shut. The object you create can have up to two hinges and a latch, but finer mechanical detail isn't possible.","Cleric, Druid, Wizard",Player's Handbook 2024
Stoneskin,FALSE,transmutation,"buff, defense",4,Action,Touch,"V, S, M (diamond dust worth 100+ GP, which the spell consumes)","Concentration, up to 1 hour","Until the spell ends, one willing creature you touch has Resistance to Bludgeoning, Piercing, and Slashing damage.","Druid, Ranger, Sorcerer, Wizard",Player's Handbook 2024
Storm of Vengeance,FALSE,conjuration,"control, debuff, damage, thunder, acid, lightning, bludgeoning, cold",9,Action,1 mile,"V, S","Concentration, up to 1 minute","A churning storm cloud forms for the duration, centered on a point within range and spreading to a radius of 300 feet. Each creature under the cloud when it appears must succeed on a Constitution saving throw or take 2d6 Thunder damage and have the Deafened condition for the duration.\nAt the start of each of your later turns, the storm produces different effects, as detailed below.\nTurn 2. Acidic rain falls. Each creature and object under the cloud takes 4d6 Acid damage.\nTurn 3. You call six bolts of lightning from the cloud to strike six different creatures or objects beneath it. Each target makes a Dexterity saving throw, taking 10d6 Lightning damage on a failed save or half as much damage on a successful one.\nTurn 4. Hailstones rain down. Each creature under the cloud takes 2d6 Bludgeoning damage.\nTurns 5-10. Gusts and freezing rain assail the area under the cloud. Each creature there takes 1d6 Cold damage. Until the spell ends, the area is Difficult Terrain and Heavily Obscured, ranged attacks with weapons are impossible there, and strong wind blows through the area.",Druid,Player's Handbook 2024
Suggestion,FALSE,enchantment,"control, social",2,Action,30 feet,"V, M (a drop of honey)","Concentration, up to 8 hours","You suggest a course of activity—described in no more than 25 words—to one creature you can see within range that can hear and understand you. The suggestion must sound achievable and not involve anything that would obviously deal damage to the target or its allies. For example, you could say, “Fetch the key to the cult's treasure vault, and give the key to me.” Or you could say, “Stop fighting, leave this library peacefully, and don't return.”\nThe target must succeed on a Wisdom saving throw or have the Charmed condition for the duration or until you or your allies deal damage to the target. The Charmed target pursues the suggestion to the best of its ability. The suggested activity can continue for the entire duration, but if the suggested activity can be completed in a shorter time, the spell ends for the target upon completing it.","Bard, Sorcerer, Warlock, Wizard",Player's Handbook 2024
Summon Aberration,FALSE,conjuration,summoning,4,Action,90 feet,"V, S, M (a pickled tentacle and an eyeball in a platinum-inlaid vial worth 400+ GP) Duration: Concentration, up to 1 hour","Concentration, up to 1 hour","You call forth an aberrant spirit. It manifests in an unoccupied space that you can see within range and uses the Aberrant Spirit stat block. When you cast the spell, choose Beholderkin, Mind Flayer, or Slaad. The creature resembles an Aberration of that kind, which determines certain details in its stat block. The creature disappears when it drops to 0 Hit Points or when the spell ends.\nThe creature is an ally to you and your allies. In combat, it shares your Initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don't issue any, it takes the Dodge action and uses its movement to avoid danger.\nUsing a Higher-Level Spell Slot. Use the spell slot's level for the spell's level in the stat block.","Warlock, Wizard",Player's Handbook 2024
Summon Beast,FALSE,conjuration,summoning,2,Action,90 feet,"V, S, M (a feather, tuft of fur, and fish tail inside a gilded acorn worth 200+ GP)","Concentration, up to 1 hour",Unknown,"Druid, Ranger",Player's Handbook 2024
Summon Celestial,FALSE,conjuration,summoning,5,Action,90 feet,"V, S, M (a reliquary worth 500+ GP)","Concentration, up to 1 hour","You call forth a Celestial spirit. It manifests in an angelic form in an unoccupied space that you can see within range and uses the Celestial Spirit stat block. When you cast the spell, choose Avenger or Defender. Your choice determines certain details in its stat block. The creature disappears when it drops to 0 Hit Points or when the spell ends.\nThe creature is an ally to you and your allies. In combat, the creature shares your Initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don't issue any, it takes the Dodge action and uses its movement to avoid danger.\nUsing a Higher-Level Spell Slot. Use the spell slot's level for the spell's level in the stat block.","Cleric, Paladin",Player's Handbook 2024
Summon Construct,FALSE,conjuration,summoning,4,Action,90 feet,"V, S, M (a lockbox worth 400+ GP)","Concentration, up to 1 hour","You call forth the spirit of a Construct. It manifests in an unoccupied space that you can see within range and uses the Construct Spirit stat block. When you cast the spell, choose a material: Clay, Metal, or Stone. The creature resembles an animate statue (you determine the appearance) made of the chosen material, which determines certain details in its stat block. The creature disappears when it drops to 0 Hit Points or when the spell ends.\nThe creature is an ally to you and your allies. In combat, the creature shares your Initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don't issue any, it takes the Dodge action and uses its movement to avoid danger.\nUsing a Higher-Level Spell Slot. Use the spell slot's level for the spell's level in the stat block.",Wizard,Player's Handbook 2024
Summon Dragon,FALSE,conjuration,summoning,5,Action,60 feet,"V, S, M (an object with the image of a dragon engraved on it worth 500+ GP)","Concentration, up to 1 hour","You call forth a Dragon spirit. It manifests in an unoccupied space that you can see within range and uses the Draconic Spirit stat block. The creature disappears when it drops to 0 Hit Points or when the spell ends.\nThe creature is an ally to you and your allies. In combat, the creature shares your Initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don't issue any, it takes the Dodge action and uses its movement to avoid danger.\nUsing a Higher-Level Spell Slot. Use the spell slot's level for the spell's level in the stat block.",Wizard,Player's Handbook 2024
Summon Elemental,FALSE,conjuration,summoning,4,Action,90 feet,"V, S, M (air, a pebble, ash, and water inside a gold-inlaid vial worth 400+ GP)","Concentration, up to 1 hour",Unknown,"Druid, Ranger, Wizard",Player's Handbook 2024
Summon Fey,FALSE,conjuration,summoning,3,Action,90 feet,"V, S, M (a gilded flower worth 300+ GP)","Concentration, up to 1 hour","You call forth a Fey spirit. It manifests in an unoccupied space that you can see within range and uses the Fey Spirit stat block. When you cast the spell, choose a mood: Fuming, Mirthful, or Tricksy. The creature resembles a Fey creature of your choice marked by the chosen mood, which determines certain details in its stat block. The creature disappears when it drops to 0 Hit Points or when the spell ends. The creature is an ally to you and your allies. In combat, the creature shares your Initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don't issue any, it takes the Dodge action and uses its movement to avoid danger.\nUsing a Higher-Level Spell Slot. Use the spell slot's level for the spell's level in the stat block.","Druid, Ranger, Warlock, Wizard",Player's Handbook 2024
Summon Fiend,FALSE,conjuration,summoning,6,Action,90 feet,"V, S, M (a bloody vial worth 600+ GP)","Concentration, up to 1 hour","You call forth a fiendish spirit. It manifests in an unoccupied space that you can see within range and uses the Fiendish Spirit stat block. When you cast the spell, choose Demon, Devil, or Yugoloth. The creature resembles a Fiend of the chosen type, which determines certain details in its stat block. The creature disappears when it drops to 0 Hit Points or when the spell ends.\nThe creature is an ally to you and your allies. In combat, the creature shares your Initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don't issue any, it takes the Dodge action and uses its movement to avoid danger.\nUsing a Higher-Level Spell Slot. Use the spell slot's Hevel for the spell's level in the stat block.","Warlock, Wizard",Player's Handbook 2024
Summon Undead,FALSE,necromancy,summoning,3,Action,90 feet,"V, S, M (a gilded skull worth 300+ GP)","Concentration, up to 1 hour","You call forth an Undead spirit. It manifests in an unoccupied space that you can see within range and uses the Undead Spirit stat block. When you cast the spell, choose the creature's form: Ghostly, Putrid, or Skeletal. The spirit resembles an Undead creature with the chosen form, which determines certain details in its stat block. The creature disappears when it drops to 0 Hit Points or when the spell ends.\nThe creature is an ally to you and your allies. In combat, the creature shares your Initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don't issue any, it takes the Dodge action and uses its movement to avoid danger.\nUsing a Higher-Level Spell Slot. Use the spell slot's level for the spell's level in the stat block.","Warlock, Wizard",Player's Handbook 2024
Sunbeam,FALSE,evocation,"damage, radiant, debuff",6,Action,Self,"V, S, M (a magnifying glass)","Concentration, up to 1 minute","You launch a sunbeam in a 5-foot-wide, 60-foot-long Line. Each creature in the Line makes a Constitution saving throw. On a failed save, a creature takes 6d8 Radiant damage and has the Blinded condition until the start of your next turn. On a successful save, it takes half as much damage only.\nUntil the spell ends, you can take a Magic action to create a new Line of radiance.\nFor the duration, a mote of brilliant radiance shines above you. It sheds Bright Light in a 30-foot radius and Dim Light for an additional 30 feet. This light is sunlight.","Cleric, Druid, Sorcerer, Wizard",Player's Handbook 2024
Sunburst,FALSE,evocation,"damage, radiant, debuff",8,Action,150 feet,"V, S, M (piece of sunstone)",Instantaneous,"Brilliant sunlight flashes in a 60-foot-radius Sphere centered on a point you choose within range. Each creature in the Sphere makes a Constitution saving throw. On a failed save, a creature takes 12d6 Radiant damage and has the Blinded condition for 1 minute. On a successful save, it takes half as much damage only.\nA creature Blinded by this spell makes another Constitution saving throw at the end of each of its turns, ending the effect on itself on a success.\nThis spell dispels Darkness in its area that was created by any spell.","Cleric, Druid, Sorcerer, Wizard",Player's Handbook 2024
Swift Quiver,FALSE,transmutation,"buff, damage",5,Bonus Action,Self,"V, S, M (a Quiver worth 1+ GP)","Concentration, up to 1 minute",Unknown,Ranger,Player's Handbook 2024
Symbol,FALSE,abjuration,"debuff, warding, damage, necrotic",7,1 minute,Touch,"V, S, M (powdered diamond worth 1,000+ GP, which the spell consumes)",Until dispelled or triggered,"You inscribe a harmful glyph either on a surface (such as a section of floor or wall) or within an object that can be closed (such as a book or chest). The glyph can cover an area no larger than 10 feet in diameter. If you choose an object, it must remain in place; if it is moved more than 10 feet from where you cast this spell, the glyph is broken, and the spell ends without being triggered.\nThe glyph is nearly imperceptible and requires a successful Wisdom (Perception) check against your spell save DC to notice.\nWhen you inscribe the glyph, you set its trigger and choose which effect the symbol bears: Death, Discord, Fear, Pain, Sleep, or Stunning. Each one is explained below.\nSet the Trigger. You decide what triggers the glyph when you cast the spell. For glyphs inscribed on a surface, common triggers include touching or stepping on the glyph, removing another object covering it, or approaching within a certain distance of it. For glyphs inscribed within an object, common triggers include opening that object or seeing the glyph.\nYou can refine the trigger so that only creatures of certain types activate it (for example, the glyph could be set to affect Aberrations). You can also set conditions for creatures that don't trigger the glyph, such as those who say a certain password.\nOnce triggered, the glyph glows, filling a 60-foot-radius Sphere with Dim Light for 10 minutes, after which time the spell ends. Each creature in the Sphere when the glyph activates is targeted by its effect, as is a creature that enters the Sphere for the first time on a turn or ends its turn there. A creature is targeted only once per turn.\nDeath. Each target makes a Constitution saving throw, taking 10d10 Necrotic damage on a failed save or half as much damage on a successful save.\nDiscord. Each target makes a Wisdom saving throw. On a failed save, a target argues with other creatures for 1 minute. During this time, it is incapable of meaningful communication and has Disadvantage on attack rolls and ability checks.\nFear. Each target must succeed on a Wisdom saving throw or have the Frightened condition for 1 minute. While Frightened, the target must move at least 30 feet away from the glyph on each of its turns, if able.\nPain. Each target must succeed on a Constitution saving throw or have the Incapacitated condition for 1 minute.\nSleep. Each target must succeed on a Wisdom saving throw or have the Unconscious condition for 10 minutes. A creature awakens if it takes damage or if someone takes an action to shake it awake.\nStunning. Each target must succeed on a Wisdom saving throw or have the Stunned condition for 1 minute.","Bard, Cleric, Druid, Wizard",Player's Handbook 2024
Synaptic Static,FALSE,enchantment,"debuff, damage, psychic",5,Action,120 feet,"V, S",Instantaneous,Unknown,"Bard, Sorcerer, Warlock, Wizard",Player's Handbook 2024
Tasha's Bubbling Cauldron,FALSE,conjuration,"creation, healing, buff, utility",6,Action,5 feet,"V, S, M (a gilded ladle worth 500+ GP)",10 minutes,"You conjure a claw-footed cauldron filled with bubbling liquid. The cauldron appears in an unoccupied space on the ground within 5 feet of you and lasts for the duration. The cauldron can't be moved, and disappears when the spell ends, along with the bubbling liquid inside of it.\nThe liquid in the cauldron duplicates the properties of a Common or an Uncommon potion of your choice (such as potion of healing). As a Bonus Action, you or an ally can reach into the cauldron and withdraw one potion of that kind. The potion is contained in a vial that disappears when the potion is consumed. The cauldron can produce a number of these potions equal to your spellcasting ability modifier (minimum 1). When the last of these potions is withdrawn from the cauldron, the cauldron disappears, and the spell ends.\nPotions obtained from the cauldron that aren't consumed disappear when you cast the spell again.","Warlock, Wizard",Player's Handbook 2024
Tasha's Hideous Laughter,FALSE,enchantment,"debuff, control",1,Action,30 feet,"V, S, M (a tart and a feather)","Concentration, up to 1 minute",Unknown,"Bard, Warlock, Wizard",Player's Handbook 2024
Telekinesis,FALSE,transmutation,"control, movement ",5,Action,60 feet,"V, S","Concentration, up to 10 minutes","You gain the ability to move or manipulate creatures or objects by thought. When you cast the spell and as a Magic action on your later turns before the spell ends, you can exert your will on one creature or object that you can see within range, causing the appropriate effect below. You can affect the same target round after round or choose a new one at any time. If you switch targets, the prior target is no longer affected by the spell.\nCreature. You can try to move a Huge or smaller creature. The target must succeed on a Strength saving throw, or you move it up to 30 feet in any direction within the spell's range. Until the end of your next turn, the creature has the Restrained condition, and if you lift it into the air, it is suspended there. It falls at the end of your next turn unless you use this option on it again and it fails the save.\nObject. You can try to move a Huge or smaller object. If the object isn't being worn or carried, you automatically move it up to 30 feet in any direction within the spell's range.\nIf the object is worn or carried by a creature, that creature must succeed on a Strength saving throw, or you pull the object away and move it up to 30 feet in any direction within the spell's range.\nYou can exert fine control on objects with your telekinetic grip, such as manipulating a simple tool, opening a door or a container, stowing or retrieving an item from an open container, or pouring the contents from a vial.","Sorcerer, Wizard",Player's Handbook 2024
Telepathy,FALSE,divination,communication,8,Action,Unlimited,"V, S, M (a pair of linked silver rings)",24 hours,Unknown,Wizard,Player's Handbook 2024
Teleport,FALSE,conjuration,movement ,7,Action,10 feet,V,Instantaneous,"This spell instantly transports you and up to eight willing creatures that you can see within range, or a single object that you can see within range, to a destination you select. If you target an object, it must be Large or smaller, and it can’t be held or carried by an unwilling creature.\nThe destination you choose must be known to you, and it must be on the same plane of existence as you. Your familiarity with the destination determines whether you arrive there successfully. The DM rolls 1d100 and consults the Teleportation Outcome table and the explanations after it.\n\nFamiliarity	Mishap	Similar Area	Off Target	On Target\nPermanent circle	—	—	—	01–00\nLinked object	—	—	—	01–00\nVery familiar	01–05	06–13	14–24	25–00\nSeen casually	01–33	34–43	44–53	54–00\nViewed once or described	01–43	44–53	54–73	74–00\nFalse destination	01–50	51–00	—	—\n\nFamiliarity. Here are the meanings of the terms in the table’s Familiarity column:\n• “Permanent circle” means a permanent teleportation circle whose sigil sequence you know.\n• “Linked object” means you possess an object taken from the desired destination within the last six months, such as a book from a wizard’s library.\n• “Very familiar” is a place you have visited often, a place you have carefully studied, or a place you can see when you cast the spell.\n• “Seen casually” is a place you have seen more than once but with which you aren’t very familiar.\n• “Viewed once or described” is a place you have seen once, possibly using magic, or a place you know through someone else’s description, perhaps from a map.\n• “False destination” is a place that doesn’t exist. Perhaps you tried to scry an enemy’s sanctum but instead viewed an illusion, or you are attempting to teleport to a location that no longer exists.\nMishap. The spell’s unpredictable magic results in a difficult journey. Each teleporting creature (or the target object) takes 3d10 Force damage, and the DM rerolls on the table to see where you wind up (multiple mishaps can occur, dealing damage each time).\nSimilar Area. You and your group (or the target object) appear in a different area that’s visually or thematically similar to the target area. You appear in the closest similar place. If you are heading for your home laboratory, for example, you might appear in another person’s laboratory in the same city.\nOff Target. You and your group (or the target object) appear 2d12 miles away from the destination in a random direction. Roll 1d8 for the direction: 1, east; 2, southeast; 3, south; 4, southwest; 5, west; 6, northwest; 7, north; or 8, northeast.\nOn Target. You and your group (or the target object) appear where you intended.","Bard, Sorcerer, Wizard",Player's Handbook 2024
Teleportation Circle,FALSE,conjuration,movement,5,1 minute,10 feet,"V, M (rare inks worth 50+ GP, which the spell consumes)",1 round,"As you cast the spell, you draw a 5-foot-radius circle on the ground inscribed with sigils that link your location to a permanent teleportation circle of your choice whose sigil sequence you know and that is on the same plane of existence as you. A shimmering portal opens within the circle you drew and remains open until the end of your next turn. Any creature that enters the portal instantly appears within 5 feet of the destination circle or in the nearest unoccupied space if that space is occupied.\nMany major temples, guildhalls, and other important places have permanent teleportation circles. Each circle includes a unique sigil sequence—a string of runes arranged in a particular pattern.\nWhen you first gain the ability to cast this spell, you learn the sigil sequences for two destinations on the Material Plane, determined by the DM. You might learn additional sigil sequences during your adventures. You can commit a new sigil sequence to memory after studying it for 1 minute.\nYou can create a permanent teleportation circle by casting this spell in the same location every day for 365 days.","Bard, Sorcerer, Warlock, Wizard",Player's Handbook 2024
Tenser's Floating Disk,TRUE,conjuration,"movement, utility",1,Action or Ritual,30 feet,"V, S, M (a drop of mercury)",1 hour,Unknown,Wizard,Player's Handbook 2024
Thaumaturgy,FALSE,transmutation,utility,0,Action,30 feet,V,Up to 1 minute,"You manifest a minor wonder within range. You create one of the effects below within range. If you cast this spell multiple times, you can have up to three of its 1-minute effects active at a time.\nAltered Eyes. You alter the appearance of your eyes for 1 minute.\nBooming Voice. Your voice booms up to three times as loud as normal for 1 minute. For the duration, you have Advantage on Charisma (Intimidation) checks.\nFire Play. You cause flames to flicker, brighten, dim, or change color for 1 minute.\nInvisible Hand. You instantaneously cause an unlocked door or window to fly open or slam shut.\nPhantom Sound. You create an instantaneous sound that originates from a point of your choice within range, such as a rumble of thunder, the cry of a raven, or ominous whispers.\nTremors. You cause harmless tremors in the ground for 1 minute.",Cleric,Player's Handbook 2024
Thorn Whip,FALSE,transmutation,"control, damage, piercing",0,Action,30 feet,"V, S, M (the stem of a thorny plant)",Instantaneous,Unknown,Druid,Player's Handbook 2024
Thunderclap,FALSE,evocation,"damage, thunder",0,Action,Self,S,Instantaneous,Unknown,"Bard, Druid, Sorcerer, Warlock, Wizard",Player's Handbook 2024
Thunderous Smite,FALSE,evocation,"damage, thunder, control",1,"Bonus Action, which you take immediately after hitting a target with a Melee weapon or an Unarmed Strike",Self,V,Instantaneous,"Your strike rings with thunder that is audible within 300 feet of you, and the target takes an extra 2d6 Thunder damage from the attack. Additionally, if the target is a creature, it must succeed on a Strength saving throw or be pushed 10 feet away from you and have the Prone condition.\nUsing a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 1.",Paladin,Player's Handbook 2024
Thunderwave,FALSE,evocation,"damage, thunder, control",1,Action,Self,"V, S",Instantaneous,"You unleash a wave of thunderous energy. Each creature in a 15-foot Cube originating from you makes a Constitution saving throw. On a failed save, a creature takes 2d8 Thunder damage and is pushed 10 feet away from you. On a successful save, a creature takes half as much damage only.\nIn addition, unsecured objects that are entirely within the Cube are pushed 10 feet away from you, and a thunderous boom is audible within 300 feet.\nUsing a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 1.","Bard, Druid, Sorcerer, Wizard",Player's Handbook 2024
Time Stop,FALSE,transmutation,control,9,Action,Self,V,Instantaneous,"You briefly stop the flow of time for everyone but yourself. No time passes for other creatures, while you take 1d4 + 1 turns in a row, during which you can use actions and move as normal.\nThis spell ends if one of the actions you use during this period, or any effects that you create during it, affects a creature other than you or an object being worn or carried by someone other than you. In addition, the spell ends if you move to a place more than 1,000 feet from the location where you cast it.","Sorcerer, Wizard",Player's Handbook 2024
Toll the Dead,FALSE,necromancy,"damage, necrotic",0,Action,60 feet,"V, S",Instantaneous,Unknown,"Cleric, Warlock, Wizard",Player's Handbook 2024
Tongues,FALSE,divination,communication,3,Action,Touch,"V, M (a miniature ziggurat)",1 hour,"This spell grants the creature you touch the ability to understand any spoken or signed language that it hears or sees. Moreover, when the target communicates by speaking or signing, any creature that knows at least one language can understand it if that creature can hear the speech or see the signing.","Bard, Cleric, Sorcerer, Warlock, Wizard",Player's Handbook 2024
Transport via Plants,FALSE,conjuration,movement,6,Action,10 feet,"V, S",1 minute,"This spell creates a magical link between a Large or larger inanimate plant within range and another plant, at any distance, on the same plane of existence. You must have seen or touched the destination plant at least once before. For the duration, any creature can step into the target plant and exit from the destination plant by using 5 feet of movement.",Druid,Player's Handbook 2024
Tree Stride,FALSE,conjuration,movement,5,Action,Self,"V, S","Concentration, up to 1 minute","You gain the ability to enter a tree and move from inside it to inside another tree of the same kind within 500 feet. Both trees must be living and at least the same size as you. You must use 5 feet of movement to enter a tree. You instantly know the location of all other trees of the same kind within 500 feet and, as part of the move used to enter the tree, can either pass into one of those trees or step out of the tree you're in. You appear in a spot of your choice within 5 feet of the destination tree, using another 5 feet of movement. If you have no movement left, you appear within 5 feet of the tree you entered.\nYou can use this transportation ability only once on each of your turns. You must end each turn outside a tree.","Druid, Ranger",Player's Handbook 2024
True Polymorph,FALSE,transmutation,"control, buff, debuff",9,Action,30 feet,"V, S, M (a drop of mercury, a dollop of gum arabic, and a wisp of smoke)","Concentration, up to 1 hour","Choose one creature or nonmagical object that you can see within range. The creature shape-shifts into a different creature or a nonmagical object, or the object shape-shifts into a creature (the object must be neither worn nor carried). The transformation lasts for the duration or until the target dies or is destroyed, but if you maintain Concentration on this spell for the full duration, the spell lasts until dispelled.\nAn unwilling creature can make a Wisdom saving throw, and if it succeeds, it isn't affected by this spell.\nCreature into Creature. If you turn a creature into another kind of creature, the new form can be any kind you choose that has a Challenge Rating equal to or less than the target's Challenge Rating or level. The target's game statistics are replaced by the stat block of the new form, but it retains its Hit Points, Hit Point Dice, alignment, and personality.\nThe target gains a number of Temporary Hit Points equal to the Hit Points of the new form. The spell ends early on the target if it has no Temporary Hit Points left.\nThe target is limited in the actions it can perform by the anatomy of its new form, and it can't speak or cast spells.\nThe target's gear melds into the new form. The creature can't use or otherwise benefit from any of that equipment.\nObject into Creature. You can turn an object into any kind of creature, as long as the creature's size is no larger than the object's size and the creature has a Challenge Rating of 9 or lower. The creature is Friendly to you and your allies. In combat, it takes its turns immediately after yours, and it obeys your commands.\nIf the spell lasts more than an hour, you no longer control the creature. It might remain Friendly to you, depending on how you have treated it.\nCreature into Object. If you turn a creature into an object, it transforms along with whatever it is wearing and carrying into that form, as long as the object's size is no larger than the creature's size. The creature's statistics become those of the object, and the creature has no memory of time spent in this form after the spell ends and it returns to normal.","Bard, Warlock, Wizard",Player's Handbook 2024
True Resurrection,FALSE,necromancy,resurrection,9,1 hour,Touch,"V, S, M (diamonds worth 25,000+ GP, which the spell consumes)",Instantaneous,"You touch a creature that has been dead for no longer than 200 years and that died for any reason except old age. The creature is revived with all its Hit Points.\nThis spell closes all wounds, neutralizes any poison, cures all magical contagions, and lifts any curses affecting the creature when it died. The spell replaces damaged or missing organs and limbs. If the creature was Undead, it is restored to its non-Undead form.\nThe spell can provide a new body if the original no longer exists, in which case you must speak the creature's name. The creature then appears in an unoccupied space you choose within 10 feet of you.","Cleric, Druid",Player's Handbook 2024
True Seeing,FALSE,divination,detection,6,Action,Touch,"V, S, M (mushroom powder worth 25+ GP, which the spell consumees)",1 hour,"For the duration, the willing creature you touch has Truesight with a range of 120 feet.","Bard, Cleric, Sorcerer, Warlock, Wizard",Player's Handbook 2024
True Strike,FALSE,divination,buff,0,Action,Self,"S, M (a weapon with which you have proficiency and that is worth 1+ CP)",Instantaneous,"Guided by a flash of magical insight, you make one attack with the weapon used in the spell's casting. The attack uses your spellcasting ability for the attack and damage rolls instead of using Strength or Dexterity. If the attack deals damage, it can be Radiant damage or the weapon's normal damage type (your choice).\nCantrip Upgrade. Whether you deal Radiant damage or the weapon's normal damage type, the attack deals extra Radiant damage when you reach levels 5 (1d6), 11 (2d6), and 17 (3d6).","Bard, Sorcerer, Warlock, Wizard",Player's Handbook 2024
